,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],alpha [rad],slope_angle_derivative [rad/s],name
77,593.6457304831333,121.91999999999949,1043.8116653570828,88092.64380288082,85.4252128517493,84.9260519591165,0.251378536290041,1,0.6892305445153478,0.04401423581601843,,55168.21976346083,189779.680752423,1.0,False,1.266253568311025e-05,0.0,1.5280669892275398,0.0,,sizing:main_route:initial_climb
78,593.8457304831334,121.91999999999949,1060.8967079274328,88092.16318448493,85.7308262495948,85.22987958141195,0.2522778568308555,1,0.6843216290881969,0.04345129545540716,,54853.00348485769,189675.54939779962,1.0,False,1.2673061041218272e-05,0.0,1.530471508919505,0.0,,sizing:main_route:initial_climb
79,594.0457304831334,121.91999999999949,1078.0428731773518,88091.68243052182,86.0369205513787,85.53418529760376,0.25317859251509306,1,0.6794573486142302,0.04289845848211753,,54542.50328670744,189571.37360400346,1.0,False,1.2683602961709366e-05,0.0,1.5328220166959996,0.0,,sizing:main_route:initial_climb
80,594.2457304831335,121.91999999999949,1095.2502572876276,88091.20154091468,86.3434849547179,85.83895836842984,0.25408071155486384,1,0.6746373752420328,0.042355532143303794,,54236.66213705298,189467.1576044704,1.0,False,1.2694161072548302e-05,0.0,1.535119207161779,0.0,,sizing:main_route:initial_climb
81,594.4457304831335,121.91999999999949,1112.5189542785713,88090.72051559137,86.65050879615025,86.14418819273736,0.2549841825710772,1,0.6698613783795567,0.04182233480515665,,53935.433467985175,189362.905569454,1.0,False,1.2704735006484308e-05,0.0,1.5373636554317798,0.0,,sizing:main_route:initial_climb
82,594.6457304831335,121.91999999999949,1129.8490560378013,88090.2393544843,86.9579815272366,86.44986428372431,0.25588897452311743,1,0.6651290252979154,0.041298678274796,,53638.75859303694,189258.62161433426,1.0,False,1.2715324400228005e-05,0.0,1.5395560735798306,0.0,,sizing:main_route:initial_climb
83,594.8457304831336,121.91999999999949,1147.2406523432487,88089.75805753043,87.26589274195257,86.75597629617133,0.25679505678944925,1,0.6604399809271502,0.04078438900055516,,53346.59407314407,189154.30979050806,1.0,False,1.2725928895394804e-05,0.0,1.5416969998790266,0.0,,sizing:main_route:initial_climb
84,595.0457304831336,121.91999999999949,1164.6938308916392,88089.2766246711,87.57423214192838,87.06251399188457,0.2577023990653296,1,0.6557939086014482,0.04027928309089232,,53058.87934571258,189049.9740973645,1.0,False,1.2736548137307748e-05,0.0,1.5437871664116378,0.0,,sizing:main_route:initial_climb
85,595.2457304831337,121.91999999999949,1182.208677320025,88088.79505585201,87.8829895752107,87.36946727823111,0.25861097147687134,1,0.6511904696737584,0.039783194773705156,,52775.573952925464,188945.61846934588,1.0,False,1.2747181776332476e-05,0.0,1.5458270763050266,0.0,,sizing:main_route:initial_climb
86,595.4457304831337,121.91999999999949,1199.785275235067,88088.31335102311,88.1921549904717,87.67682616261557,0.25952074444629536,1,0.6466293243994755,0.03929594497070871,,52496.61625481686,188841.24679163095,1.0,False,1.2757829466300187e-05,0.0,1.5478174726026868,0.0,,sizing:main_route:initial_climb
87,595.6457304831338,121.91999999999949,1217.4237062331613,88087.83151013855,88.50171848499224,87.98458080018283,0.26043168883312934,1,0.6421101314093246,0.03881737447234028,,52221.96740580214,188736.86288410943,1.0,False,1.276849086616017e-05,0.0,1.549758838853866,0.0,,sizing:main_route:initial_climb
88,595.8457304831338,121.91999999999949,1235.1240499301598,88087.34953315658,88.81167025276301,88.29272144222259,0.26134377578148665,1,0.6376325486537124,0.03834731052849375,,51951.56687593365,188632.47051909336,1.0,False,1.277916563819242e-05,0.0,1.5516519042466166,0.0,,sizing:main_route:initial_climb
89,596.0457304831339,121.91999999999949,1252.8863839807125,88086.86742003947,89.12200063361233,88.60123848500993,0.2622569768646331,1,0.6331962328573757,0.03788559813894177,,51685.374471539246,188528.0734049423,1.0,False,1.2789853449699588e-05,0.0,1.5534971663922716,0.0,,sizing:main_route:initial_climb
90,596.2457304831339,121.91999999999949,1270.7107841074348,88086.38517075348,89.43270006689079,88.91012242376074,0.2631712639486961,1,0.6288008403537838,0.03743207361885934,,51423.33472228211,188423.67520185682,1.0,False,1.2800553971411886e-05,0.0,1.5552952957940394,0.0,,sizing:main_route:initial_climb
91,596.445730483134,121.91999999999949,1288.597324120813,88085.9027852687,89.7437591260496,89.2193638870079,0.26408660929441735,1,0.624446026746186,0.036986582759248675,,51165.40154747357,188319.27951043233,1.0,False,1.2811266878677967e-05,0.0,1.5570468556961432,0.0,,sizing:main_route:initial_climb
92,596.645730483134,121.91999999999949,1306.546075946023,88085.42026355906,90.05516849718883,89.52895361527493,0.2650029854940276,1,0.6201314473645602,0.03654897426664886,,50911.52946439002,188214.88987906763,1.0,False,1.2821991850726122e-05,0.0,1.5587524019736103,0.0,,sizing:main_route:initial_climb
